frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
97;3.233332;19;19.838890;19.000000;1.044347;1.044152;1.044347;1.044336;1.044322;1.044308;1.044291;1.044272;1.044252;1.044230;1.044205;1.044179;1.044152;1.044122;1.044091;1.044058;1.044024;1.043986;1.043948;1.043908;1.043866
98;3.266665;19;19.730430;19.000000;1.038620;1.038444;1.038620;1.038609;1.038596;1.038582;1.038567;1.038550;1.038531;1.038511;1.038490;1.038466;1.038442;1.038416;1.038388;1.038359;1.038328;1.038296;1.038262;1.038228;1.038191
99;3.299998;19;19.618140;19.000000;1.032691;1.032534;1.032691;1.032680;1.032668;1.032655;1.032641;1.032626;1.032609;1.032591;1.032572;1.032552;1.032530;1.032507;1.032484;1.032459;1.032432;1.032405;1.032376;1.032346;1.032315
100;3.333332;19;19.508410;19.000000;1.026897;1.026759;1.026897;1.026886;1.026876;1.026863;1.026850;1.026837;1.026822;1.026806;1.026790;1.026772;1.026754;1.026735;1.026714;1.026693;1.026671;1.026648;1.026624;1.026600;1.026574
101;3.366665;19;19.407120;19.000000;1.021548;1.021428;1.021548;1.021538;1.021528;1.021517;1.021505;1.021493;1.021480;1.021466;1.021452;1.021437;1.021421;1.021405;1.021389;1.021371;1.021353;1.021335;1.021315;1.021295;1.021274
102;3.399998;19;19.319310;19.000000;1.016912;1.016806;1.016912;1.016902;1.016892;1.016882;1.016871;1.016860;1.016849;1.016837;1.016825;1.016812;1.016799;1.016785;1.016772;1.016758;1.016742;1.016728;1.016713;1.016696;1.016680
103;3.433331;19;19.248950;19.000000;1.013196;1.013102;1.013196;1.013186;1.013177;1.013168;1.013157;1.013147;1.013137;1.013127;1.013116;1.013106;1.013095;1.013083;1.013072;1.013060;1.013048;1.013036;1.013023;1.013011;1.012999
104;3.466665;19;19.198720;19.000000;1.010543;1.010459;1.010543;1.010534;1.010525;1.010516;1.010507;1.010498;1.010489;1.010479;1.010470;1.010460;1.010451;1.010441;1.010431;1.010422;1.010412;1.010402;1.010392;1.010381;1.010371
105;3.499998;19;19.170010;19.000000;1.009026;1.008948;1.009026;1.009017;1.009008;1.009000;1.008991;1.008983;1.008974;1.008965;1.008957;1.008948;1.008939;1.008930;1.008922;1.008913;1.008904;1.008895;1.008887;1.008878;1.008869
106;3.533331;19;19.162800;19.000000;1.008644;1.008569;1.008644;1.008636;1.008628;1.008619;1.008610;1.008602;1.008594;1.008585;1.008577;1.008569;1.008560;1.008552;1.008543;1.008535;1.008527;1.008518;1.008510;1.008501;1.008493
