frame;time;dx;dy;dz;displacement;angleFromVertical
369;12.300050;0.000000;0.119354;0.000000;0.119354;0.000000
370;12.333380;0.000000;0.114236;0.000000;0.114236;0.000000
371;12.366720;0.000000;0.107158;0.000000;0.107158;0.000000
372;12.400050;0.000000;0.098910;0.000000;0.098910;0.000000
373;12.433390;0.000000;0.090407;0.000000;0.090407;0.000000
374;12.466720;0.000000;0.082584;0.000000;0.082584;0.000000
375;12.500050;0.000000;0.076296;0.000000;0.076296;0.000000
376;12.533390;0.000000;0.072219;0.000000;0.072219;0.000000
377;12.566720;0.000000;0.070783;0.000000;0.070783;0.000000
378;12.600050;0.000000;0.072125;0.000000;0.072125;0.000000
379;12.633390;0.000000;0.076079;0.000000;0.076079;0.000000
380;12.666720;0.000000;0.082193;0.000000;0.082193;0.000000
381;12.700060;0.000000;0.089774;0.000000;0.089774;0.000000
382;12.733390;0.000000;0.097985;0.000000;0.097985;0.000000
383;12.766720;0.000000;0.105920;0.000000;0.105920;0.000000
384;12.800060;0.000000;0.112712;0.000000;0.112712;0.000000
385;12.833390;0.000000;0.117625;0.000000;0.117625;0.000000
386;12.866720;0.000000;0.120138;0.000000;0.120138;0.000000
387;12.900060;0.000000;0.119988;0.000000;0.119988;0.000000
388;12.933390;0.000000;0.117209;0.000000;0.117209;0.000000
389;12.966730;0.000000;0.112126;0.000000;0.112126;0.000000
390;13.000060;0.000000;0.105314;0.000000;0.105314;0.000000
391;13.033390;0.000000;0.097535;0.000000;0.097535;0.000000
392;13.066730;0.000000;0.089649;0.000000;0.089649;0.000000
393;13.100060;0.000000;0.082523;0.000000;0.082523;0.000000
394;13.133400;0.000000;0.076932;0.000000;0.076932;0.000000
395;13.166730;0.000000;0.073477;0.000000;0.073477;0.000000
396;13.200060;0.000000;0.072520;0.000000;0.072520;0.000000
397;13.233400;0.000000;0.074146;0.000000;0.074146;0.000000
398;13.266730;0.000000;0.078160;0.000000;0.078160;0.000000
399;13.300060;0.000000;0.084104;0.000000;0.084104;0.000000
400;13.333400;0.000000;0.091314;0.000000;0.091314;0.000000
401;13.366730;0.000000;0.098990;0.000000;0.098990;0.000000
402;13.400070;0.000000;0.106282;0.000000;0.106282;0.000000
403;13.433400;0.000000;0.112395;0.000000;0.112395;0.000000
404;13.466730;0.000000;0.116669;0.000000;0.116669;0.000000
405;13.500070;0.000000;0.118645;0.000000;0.118645;0.000000
406;13.533400;0.000000;0.118126;0.000000;0.118126;0.000000
407;13.566730;0.000000;0.115188;0.000000;0.115188;0.000000
408;13.600070;0.000000;0.110171;0.000000;0.110171;0.000000
409;13.633400;0.000000;0.103640;0.000000;0.103640;0.000000
410;13.666740;0.000000;0.096320;0.000000;0.096320;0.000000
411;13.700070;0.000000;0.089022;0.000000;0.089022;0.000000
412;13.733400;0.000000;0.082545;0.000000;0.082545;0.000000
413;13.766740;0.000000;0.077594;0.000000;0.077594;0.000000
414;13.800070;0.000000;0.074696;0.000000;0.074696;0.000000
415;13.833400;0.000000;0.074158;0.000000;0.074158;0.000000
416;13.866740;0.000000;0.076022;0.000000;0.076022;0.000000
417;13.900070;0.000000;0.080066;0.000000;0.080066;0.000000
418;13.933410;0.000000;0.085829;0.000000;0.085829;0.000000
419;13.966740;0.000000;0.092665;0.000000;0.092665;0.000000
420;14.000070;0.000000;0.099820;0.000000;0.099820;0.000000
421;14.033410;0.000000;0.106503;0.000000;0.106503;0.000000
422;14.066740;0.000000;0.111989;0.000000;0.111989;0.000000
423;14.100070;0.000000;0.115687;0.000000;0.115687;0.000000
424;14.133410;0.000000;0.117203;0.000000;0.117203;0.000000
425;14.166740;0.000000;0.116383;0.000000;0.116383;0.000000
426;14.200080;0.000000;0.113335;0.000000;0.113335;0.000000
427;14.233410;0.000000;0.108409;0.000000;0.108409;0.000000
428;14.266740;0.000000;0.102164;0.000000;0.102164;0.000000
429;14.300080;0.000000;0.095292;0.000000;0.095292;0.000000
430;14.333410;0.000000;0.088552;0.000000;0.088552;0.000000
431;14.366740;0.000000;0.082681;0.000000;0.082681;0.000000
